"Year","Month","Day","Line","NumberOfOutliers"
2013,11,23,345,1
2013,9,27,350,1
2013,10,1,712,1
2013,10,14,396,1
2013,10,14,397,7
2013,10,14,394,1
2013,10,14,395,1
2013,10,14,392,2
2013,10,14,393,5
2013,10,21,306,1
2013,12,6,914,1
2013,12,6,915,2
2013,12,6,913,1
2013,12,6,910,4
2013,11,6,901,3
2013,10,1,901,9
2013,11,26,409,1
2013,10,1,908,2
2013,11,26,405,1
2013,12,9,898,5
2013,12,9,895,1
2013,11,10,840,1
2013,12,9,893,2
2013,10,16,873,3
2013,10,11,363,10
2013,11,12,498,1
2013,9,28,924,3
2013,12,12,126,2
2013,11,12,940,1
2013,9,28,922,3
2013,10,11,366,2
2013,12,3,161,2
2013,11,9,873,1
2013,11,12,497,3
2013,9,30,621,1
2013,9,30,623,2
2013,10,19,2801,1
2013,12,17,2338,1
2013,10,1,2309,5
2013,10,1,2308,5
2013,10,24,906,1
2013,12,17,2335,6
2013,12,17,2336,15
2013,12,17,2337,2
2013,12,3,409,2
2013,10,1,2302,7
2013,12,17,2332,5
2013,10,24,901,1
2013,12,31,833,3
2013,12,31,830,2
2013,11,7,2305,1
2013,11,7,2302,1
2013,11,7,2303,2
2013,12,11,439,1
2013,11,1,512,4
2013,12,31,838,2
2013,12,31,839,3
2013,12,5,793,2
2013,11,7,2308,2
2013,11,7,2309,2
2013,10,31,901,3
2013,10,28,653,1
2013,10,28,651,1
2013,10,7,386,1
2013,10,7,382,1
2013,10,7,383,1
2013,10,7,472,3
2013,11,28,2018,2
2013,10,10,413,2
2013,12,16,2145,1
2013,10,5,378,2
2013,10,18,864,3
2013,10,18,866,1
2013,10,18,867,1
2013,10,17,747,1
2013,10,17,742,1
2013,10,17,749,1
2013,12,26,186,1
2013,12,27,111,1
2013,12,26,184,1
2013,12,26,180,2
2013,11,24,650,1
2013,12,20,2303,1
2013,12,20,2302,5
2013,10,17,292,1
2013,12,20,2307,1
2013,12,20,2305,1
2013,10,17,298,1
2013,12,20,2308,1
2013,10,7,2251,1
2013,12,17,202,1
2013,10,15,689,2
2013,10,3,570,1
2013,11,5,873,1
2013,11,7,569,2
2013,12,17,132,7
2013,12,17,136,3
2013,10,16,2305,1
2013,10,16,2307,2
2013,10,16,2302,1
2013,10,16,2303,3
2013,11,28,669,2
2013,10,16,2308,2
2013,10,16,2309,2
2013,10,3,2295,1
2013,11,26,183,1
2013,11,26,184,4
2013,12,16,309,3
2013,12,16,308,1
2013,11,1,327,1
2013,11,1,326,2
2013,11,8,2309,2
2013,11,1,323,5
2013,11,1,322,7
2013,12,17,397,16
2013,12,17,396,1
2013,12,17,395,1
2013,11,11,915,2
2013,11,1,329,2
2013,11,1,328,6
2013,12,17,391,3
2013,12,16,306,3
2013,12,15,584,2
2013,12,27,378,1
2013,12,15,583,1
2013,11,11,162,1
2013,11,11,161,3
2013,12,9,327,1
2013,11,27,910,6
2013,12,16,133,5
2013,11,27,915,3
2013,11,27,914,1
2013,11,26,363,1
2013,10,18,462,1
2013,11,12,2295,2
2013,12,9,395,1
2013,11,7,389,1
2013,11,7,388,1
2013,11,10,616,1
2013,11,7,385,1
2013,11,7,384,1
2013,11,7,380,1
2013,12,9,398,6
2013,11,9,2381,3
2013,11,9,512,2
2013,11,9,513,1
2013,12,25,898,10
2013,12,25,893,2
2013,12,25,895,1
2013,12,4,133,1
2013,12,6,181,1
2013,12,27,807,1
2013,12,27,804,4
2013,11,28,915,2
2013,11,28,910,5
2013,12,24,2345,3
2013,11,1,2145,3
2013,12,23,512,6
2013,12,20,498,1
2013,12,20,497,1
2013,11,11,835,1
2013,11,11,836,1
2013,11,11,830,1
2013,11,8,2203,1
