"Year","Month","Day","Hour","Line","BusId","NumberOfOutliers"
2013,12,10,18,2336,D87764,1
2013,12,12,5,183,A37619,1
2013,12,22,13,804,D87049,1
2013,12,17,8,557,C30305,1
2013,10,14,19,323,B10044,2
2013,12,18,13,328,B10002,1
2013,12,16,22,201,A48127,1
2013,12,24,6,308,C21040,1
2013,12,6,12,805,C50136,1
2013,12,20,9,849,D87433,1
2013,10,1,21,750,D87180,2
2013,10,1,19,438,A27604,1
2013,9,30,23,2310,D53903,1
2013,12,21,20,634,B10168,1
2013,11,12,21,328,B10028,2
2013,12,17,11,636,C47588,2
2013,12,17,11,636,C47587,2
2013,11,24,4,161,A37713,1
2013,10,16,22,328,B10088,1
2013,10,27,20,934,B10043,1
2013,9,27,14,669,B11655,1
2013,10,1,21,584,A37697,1
2013,12,8,21,323,B10196,1
2013,12,21,3,635,B10125,1
2013,12,17,12,362,B11683,2
2013,12,9,8,398,D87528,1
2013,10,10,4,323,B10167,1
2013,12,9,19,2329,C87848,1
2013,12,17,11,247,B71147,2
2013,12,24,15,398,D87525,1
2013,12,24,15,398,D87524,1
2013,11,29,22,327,B10194,1
2013,12,10,11,804,D87050,1
2013,12,18,6,771,D87792,1
2013,10,20,16,2018,C41841,1
2013,12,17,10,422,A72118,1
2013,12,17,15,485,B31105,1
2013,12,30,9,474,A29081,2
2013,12,27,20,934,B10018,1
2013,10,23,20,327,B10141,1
2013,12,1,22,497,B31043,1
2013,12,17,12,127,A41439,2
2013,10,3,14,201,A48074,1
2013,11,10,23,397,D53655,1
2013,11,11,8,301,C50092,2
2013,11,8,20,323,B10032,1
2013,10,8,20,322,B10090,2
2013,12,25,18,155,A37545,1
2013,12,7,23,825,D87291,1
2013,11,9,4,721,C44549,1
2013,10,27,10,634,B10087,1
2013,10,2,10,323,B10095,1
2013,12,11,21,2336,D87877,1
2013,12,15,23,326,B28561,1
2013,10,2,23,634,B10166,1
2013,11,2,11,326,B28605,1
2013,12,31,22,557,C30257,1
2013,10,14,23,161,A37523,1
2013,12,26,5,110,A41222,1
2013,12,9,15,830,D87241,1
2013,11,11,18,318,C41347,2
2013,12,17,11,614,C47675,2
2013,12,23,4,161,A37565,1
2013,10,16,11,460,A41120,1
2013,12,17,10,2114,C47932,1
2013,12,17,15,867,D86355,1
2013,12,16,17,415,A48038,1
2013,11,26,1,119,A37616,1
2013,12,12,4,569,A37638,1
2013,12,22,21,825,D87273,1
2013,10,17,23,584,A37706,1
2013,12,20,19,128,A41086,1
2013,10,2,14,298,B75567,1
2013,10,11,18,2295,B31519,1
2013,12,23,22,634,B10048,1
2013,10,11,18,2295,B31515,1
2013,12,17,10,409,A71512,1
2013,12,16,22,2333,C87817,1
2013,10,5,6,378,B11619,1
2013,12,9,14,110,A41048,1
2013,10,9,22,512,A37583,2
2013,10,1,20,249,B25518,1
2013,12,15,12,178,A41073,1
2013,10,27,21,323,B10011,1
2013,11,9,13,910,B10149,1
2013,12,8,18,663,B28614,1
2013,10,19,22,325,B28585,1
2013,12,14,21,2345,C12515,1
2013,10,16,19,348,C47609,1
2013,11,2,9,915,B10190,1
2013,12,16,21,395,D58674,1
2013,11,5,19,584,A37681,1
2013,11,9,14,793,B32524,1
2013,10,15,19,901,B10186,1
2013,11,27,9,2344,B28705,1
2013,11,10,19,934,B10018,2
2013,12,13,8,126,A41340,1
2013,11,9,13,866,D86316,1
2013,11,4,5,362,B11504,1
2013,12,17,11,369,D53526,2
2013,11,25,17,2342,B10411,1
2013,12,11,11,2310,D53915,1
2013,12,19,22,2329,C87848,1
2013,12,14,14,398,D87097,1
2013,12,12,22,840,D87453,1
2013,10,10,5,126,A41252,1
2013,10,29,23,322,B10086,1
2013,12,13,13,864,D86156,1
2013,10,6,13,915,B10196,1
2013,12,17,8,721,C44626,1
2013,11,2,12,426,A48054,2
2013,12,19,14,850,D87492,1
2013,11,11,22,634,B10112,2
2013,11,1,19,924,B10099,1
