"Year","Month","Day","Hour","Line","NumberOfOutliers"
2013,11,9,21,663,1
2013,11,30,21,608,1
2013,11,6,17,834,1
2013,12,3,22,261,1
2013,12,26,9,217,1
2013,12,19,19,201,1
2013,12,7,20,398,3
2013,10,31,6,312,2
2013,12,16,17,852,1
2013,12,16,17,851,2
2013,12,26,2,822,1
2013,11,12,17,2343,2
2013,12,16,17,858,1
2013,11,12,17,2344,3
2013,12,3,21,2344,1
2013,11,11,5,512,1
2013,10,9,12,378,2
2013,10,16,7,323,3
2013,10,27,1,397,1
2013,10,16,7,328,4
2013,10,16,5,110,1
2013,12,31,13,884,1
2013,11,9,5,128,1
2013,12,23,20,924,2
2013,10,2,14,901,1
2013,12,24,21,2344,1
2013,10,10,5,173,2
2013,10,9,19,405,1
2013,11,10,10,910,2
2013,10,16,22,623,1
2013,12,18,19,849,1
2013,10,15,17,2345,2
2013,12,18,19,841,1
2013,12,18,19,840,1
2013,10,14,13,229,1
2013,10,1,22,162,3
2013,12,29,20,308,1
2013,12,16,23,2332,3
2013,11,9,5,696,2
2013,12,16,23,2336,5
2013,12,17,12,498,2
2013,12,14,22,749,1
2013,12,1,9,110,1
2013,10,17,13,635,2
2013,10,17,13,634,1
2013,12,24,20,850,1
2013,9,27,23,910,1
2013,12,6,20,711,1
2013,9,27,23,915,2
2013,12,9,22,2336,3
2013,12,9,22,2335,2
2013,11,10,22,321,1
2013,11,10,22,323,2
2013,11,10,22,322,1
2013,11,10,22,328,3
2013,12,20,12,409,1
2013,9,27,15,2801,1
2013,12,10,19,822,1
2013,11,2,21,326,1
2013,11,2,21,322,3
2013,11,2,21,323,1
2013,10,4,16,350,1
2013,11,8,5,924,1
2013,10,24,13,924,1
2013,10,15,11,782,2
2013,10,17,14,837,1
2013,10,17,14,838,1
2013,10,5,4,184,1
2013,11,26,2,924,1
2013,10,5,4,180,2
2013,11,10,16,181,1
2013,12,31,19,634,3
2013,11,10,16,184,1
2013,12,10,13,2308,1
2013,10,11,14,914,1
2013,12,13,12,825,3
2013,12,26,5,154,1
2013,11,3,21,678,1
2013,10,16,10,121,2
2013,10,4,14,2295,2
2013,12,19,9,483,1
2013,12,25,18,901,1
2013,12,17,16,345,1
2013,10,23,21,924,2
2013,12,24,22,328,1
